,x
(Intercept),0.184415982
min_temperaturef,-0.010104193
cloudcover,0.010034379
min_visibilitymiles,0.007713391
mean_wind_speedmph,0.007375143
max_gust_speedmph,0.003708177
min_humidity,0.0016591
factor(events)Fog,0.119047961
factor(events)Fog-Rain-Thunderstorm,0.550553777
factor(events)Fog-Snow,0.557325919
factor(events)Rain,0.052687154
factor(events)Rain-Snow,0.390704653
factor(events)Rain-Snow-Thunderstorm,0.098281775
factor(events)Rain-Thunderstorm,0.104650922
factor(events)Snow,0.202722512
factor(airline_class)1,0.031695198
factor(season)Spring,0.085888973
factor(season)Summer,0.389089349
factor(season)Winter,0.002663817
ln_dist,0.065518001
prec_new,0.340341321
time_of_dayevening,0.290469823
time_of_daymorning,-0.246452096
time_of_daynight,0.759512425
factor(is_weekend)1,-0.042891843
