"cst","max_temperaturef","mean_temperaturef","min_temperaturef","max_dew_pointf","meandew_pointf","min_dewpointf","max_humidity","mean_humidity","min_humidity","max_sea_level_pressurein","mean_sea_level_pressurein","min_sea_level_pressurein","max_visibilitymiles","mean_visibilitymiles","min_visibilitymiles","max_wind_speedmph","mean_wind_speedmph","max_gust_speedmph","precipitationin","cloudcover","events","winddirdegrees","location"
"2014-12-1",6,2,-3,-5,-11,-13,68,57,46,30.84,30.68,30.5,10,10,10,21,9,26,"0.00",2,"",218,"MSP"
"2014-12-2",22,12,2,13,7,-4,80,68,56,30.42,30.1,29.96,10,9,2,20,10,25,"T",6,"Snow",191,"MSP"
"2014-12-3",23,17,11,9,7,5,76,64,52,30.38,30.27,30.05,10,10,7,18,8,23,"0.00",3,"",258,"MSP"
"2014-12-4",32,23,14,20,12,7,80,60,39,30.39,30.25,30.1,10,10,8,17,9,25,"0.00",6,"",145,"MSP"
"2014-12-5",32,29,25,28,25,21,92,81,69,30.45,30.24,30.1,9,6,4,12,5,16,"0.00",7,"",221,"MSP"
"2014-12-6",32,25,17,20,16,12,92,71,49,30.7,30.62,30.47,10,9,8,13,6,15,"0.00",1,"",68,"MSP"
"2014-12-7",35,29,22,32,25,17,89,81,72,30.58,30.29,30.05,10,7,2,23,13,30,"0.01",8,"Rain-Snow",156,"MSP"
"2014-12-8",35,28,21,33,24,15,100,84,68,30.38,30.1,29.97,10,8,2,22,13,28,"T",8,"Snow",288,"MSP"
"2014-12-9",23,19,15,21,16,10,100,87,74,30.56,30.47,30.35,10,7,3,14,6,17,"T",7,"Snow",46,"MSP"
"2014-12-10",29,25,21,23,22,20,96,87,78,30.47,30.39,30.31,8,4,1,16,9,18,"0.00",8,"",130,"MSP"
"2014-12-11",32,30,27,30,26,23,92,88,84,30.31,30.26,30.21,6,4,2,10,6,13,"0.00",8,"",183,"MSP"
"2014-12-12",37,35,32,35,32,30,100,91,82,30.25,30.18,30.09,5,4,1,14,8,18,"0.00",8,"",177,"MSP"
"2014-12-13",51,42,33,45,40,32,100,89,77,30.1,30,29.92,9,3,1,16,7,21,"0.01",8,"",163,"MSP"
"2014-12-14",50,47,43,48,46,42,100,93,86,29.94,29.87,29.8,6,3,0,13,7,16,"0.01",8,"Fog-Rain",145,"MSP"
"2014-12-15",51,41,30,49,41,27,100,95,89,29.86,29.76,29.67,9,3,0,25,9,32,"0.19",8,"Fog-Rain-Snow",5,"MSP"
"2014-12-16",30,24,17,27,18,11,88,80,71,30.32,30.07,29.85,10,5,1,26,14,32,"0.04",8,"Snow",321,"MSP"
"2014-12-17",20,15,9,10,8,5,84,76,67,30.39,30.35,30.27,10,10,8,14,6,18,"T",3,"Snow",323,"MSP"
"2014-12-18",22,17,11,16,13,8,92,82,71,30.39,30.34,30.28,10,8,2,8,3,13,"0.02",7,"Snow",162,"MSP"
"2014-12-19",30,25,20,25,20,15,85,81,77,30.33,30.26,30.19,10,7,5,13,7,16,"T",8,"Snow",138,"MSP"
